,"('PLANES DE PREVENCIÓN Y REDUCCIÓN DEL RIESGO DE DESASTRES', None)","('DESCARGA', None)"
96,"('Plan de prevención y reducción de riesgo de desastres del distrito de Jacobo Hunter (DISTRITO JACOBO HUNTER, AREQUIPA, AREQUIPA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/13983/descargar')"
97,"('Plan de prevención y reducción de riesgo de desastres del distrito de Huaro al 2024. (DISTRITO HUARO, QUISPICANCHI, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/13928/descargar')"
98,"('Plan de prevención y reducción de riesgo de desastres del distrito de San Juan Bautista 2021-2024 (DISTRITO SAN JUAN BAUTISTA, HUAMANGA, AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/13585/descargar')"
99,"('Plan de prevención y reducción del riesgo de desastres frente a peligros de sequía, inundaciones y movimientos en masa del distrito de Salitral, provincia de Sullana, región Piura 2021-2023 (DISTRITO SALITRAL, SULLANA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/13248/descargar')"
100,"('Plan de prevención y reducción de riesgo de desastres ante sismo del distrito de San Borja, provincia de Lima, región Lima 2021-2023 (DISTRITO SAN BORJA, LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/13083/descargar')"
101,"('Plan de prevención y reducción del riesgo de desastres frente al peligro de inundaciones, sequías y movimientos en masa del distrito de Paimas, provincia de Ayabaca - Piura (DISTRITO PAIMAS, AYABACA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/13065/descargar')"
102,"('Plan de prevención y reducción del riesgo de desastres ante sismos del distrito de La Huaca, provincia de Paita, región Piura 2022-2023 (DISTRITO LA HUACA, PAITA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/13059/descargar')"
103,"('Plan de prevención y reducción del riesgo de desastres del Ministerio de Justicia y Derechos Humanos 2022 - 2024. (Ministerio de Justicia y Derechos Humanos SEDE CENTRAL, DISTRITO MIRAFLORES, LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/13006/descargar')"
104,"('Plan de prevención y reducción del riesgo de desastres del distrito de Mollepata al 2024. (DISTRITO MOLLEPATA, ANTA, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12880/descargar')"
105,"('Plan de prevención y reducción del riesgo de desastres ante sismos del distrito de Lancones, provincia de Sullana 2022-2024 (DISTRITO LANCONES, SULLANA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12879/descargar')"
106,"('Plan de prevención y reducción del riesgo de desastres ante sismos del distrito de Morropón 2022-2024 (DISTRITO MORROPON, MORROPON, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12878/descargar')"
107,"('Plan de prevención y reducción del riesgo de desastres de la provincia de Caylloma 2020 - 2022 (PROVINCIA CAYLLOMA, AREQUIPA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12873/descargar')"
108,"('Plan de prevención y reducción del riesgo de desastres ante sismos del distrito de Vice, provincia de Sechura, departamento de Piura 2022-2023 (DISTRITO VICE, SECHURA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/12817/descargar')"
